Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,E_coh,E_coh_ROM,E_coh_R2,E_coh_RMSE,C11_avg,C11_ROM,C11_R2,C11_RMSE,C12_avg,C12_ROM,C12_R2,C12_RMSE,C44_avg,C44_ROM,C44_R2,C44_RMSE,B,B_ROM,B_R2,B_RMSE,G,G_ROM,G_R2,G_RMSE,E_VRH,E_VRH_ROM,E_VRH_R2,E_VRH_RMSE,nu,nu_ROM,nu_R2,nu_RMSE
12,0,75.0,25.0,0,0,4.343520566,4.259963308872582,0.9319143761045303,7.711036780050582,218.95972666666668,237.87952432955308,-0.20370784030291111,20.864612649891303,142.93074333333334,146.33212464643097,0.6293324520770509,3.337459374149673,84.66800333333335,96.74605414276184,-0.04927272323602194,15.650329041592478,168.2737378,176.847924540805,0.5069753694531447,6.734378754560092,61.34890947,71.62413216016823,-0.7170748484395773,15.975934284796029,164.1038426,187.413181688837,-0.5016495296854211,38.402999591912995,0.337463405,0.33118925112496367,-0.16847387486350796,0.027754300608509325
13,0,75.0,25.0,0,0,4.344054436,4.259963308872582,0.9319143761045303,7.711036780050582,220.27274,237.87952432955308,-0.20370784030291111,20.864612649891303,148.73391,146.33212464643097,0.6293324520770509,3.337459374149673,76.93488,96.74605414276184,-0.04927272323602194,15.650329041592478,172.5801867,176.847924540805,0.5069753694531447,6.734378754560092,56.24413423,71.62413216016823,-0.7170748484395773,15.975934284796029,152.1984986,187.413181688837,-0.5016495296854211,38.402999591912995,0.353016636,0.33118925112496367,-0.16847387486350796,0.027754300608509325
14,0,75.0,25.0,0,0,4.344026258,4.259963308872582,0.9319143761045303,7.711036780050582,216.4461533333333,237.87952432955308,-0.20370784030291111,20.864612649891303,146.3085133333333,146.33212464643097,0.6293324520770509,3.337459374149673,76.67228,96.74605414276184,-0.04927272323602194,15.650329041592478,169.6877267,176.847924540805,0.5069753694531447,6.734378754560092,55.67821395,71.62413216016823,-0.7170748484395773,15.975934284796029,150.5665901,187.413181688837,-0.5016495296854211,38.402999591912995,0.352114044,0.33118925112496367,-0.16847387486350796,0.027754300608509325
15,0,75.0,25.0,0,0,4.346039931,4.259963308872582,0.9319143761045303,7.711036780050582,215.81934666666666,237.87952432955308,-0.20370784030291111,20.864612649891303,145.59934666666666,146.33212464643097,0.6293324520770509,3.337459374149673,78.81581999999999,96.74605414276184,-0.04927272323602194,15.650329041592478,169.0060133,176.847924540805,0.5069753694531447,6.734378754560092,56.72109332,71.62413216016823,-0.7170748484395773,15.975934284796029,153.0421565,187.413181688837,-0.5016495296854211,38.402999591912995,0.349076222,0.33118925112496367,-0.16847387486350796,0.027754300608509325
16,0,75.0,25.0,0,0,4.344988233,4.259963308872582,0.9319143761045303,7.711036780050582,215.06076666666664,237.87952432955308,-0.20370784030291111,20.864612649891303,145.17952,146.33212464643097,0.6293324520770509,3.337459374149673,79.00116666666666,96.74605414276184,-0.04927272323602194,15.650329041592478,168.4732689,176.847924540805,0.5069753694531447,6.734378754560092,56.64383947,71.62413216016823,-0.7170748484395773,15.975934284796029,152.8061026,187.413181688837,-0.5016495296854211,38.402999591912995,0.348832495,0.33118925112496367,-0.16847387486350796,0.027754300608509325
17,0,75.0,25.0,0,0,4.340516734,4.259963308872582,0.9319143761045303,7.711036780050582,224.50660000000002,237.87952432955308,-0.20370784030291111,20.864612649891303,145.91226666666668,146.33212464643097,0.6293324520770509,3.337459374149673,84.10086,96.74605414276184,-0.04927272323602194,15.650329041592478,172.1103778,176.847924540805,0.5069753694531447,6.734378754560092,61.48698261,71.62413216016823,-0.7170748484395773,15.975934284796029,164.8320252,187.413181688837,-0.5016495296854211,38.402999591912995,0.340381478,0.33118925112496367,-0.16847387486350796,0.027754300608509325
18,0,68.75,31.25,0,0,4.219413148,4.125531002104581,0.9319143761045303,7.711036780050582,205.93245,230.0417865808645,-0.20370784030291111,20.864612649891303,147.96532666666667,144.2480554743403,0.6293324520770509,3.337459374149673,71.30271333333333,90.12463810587663,-0.04927272323602194,15.650329041592478,167.2877011,172.84596584318172,0.5069753694531447,6.734378754560092,49.19728415,66.87784343559545,-0.7170748484395773,15.975934284796029,134.4152234,175.6014646582992,-0.5016495296854211,38.402999591912995,0.366083776,0.3393070026251019,-0.16847387486350796,0.027754300608509325
19,0,68.75,31.25,0,0,4.221530629,4.125531002104581,0.9319143761045303,7.711036780050582,207.75504333333333,230.0417865808645,-0.20370784030291111,20.864612649891303,141.09997666666666,144.2480554743403,0.6293324520770509,3.337459374149673,67.2535,90.12463810587663,-0.04927272323602194,15.650329041592478,163.3183322,172.84596584318172,0.5069753694531447,6.734378754560092,49.6882956,66.87784343559545,-0.7170748484395773,15.975934284796029,135.3395607,175.6014646582992,-0.5016495296854211,38.402999591912995,0.361885723,0.3393070026251019,-0.16847387486350796,0.027754300608509325
20,0,68.75,31.25,0,0,4.216174091,4.125531002104581,0.9319143761045303,7.711036780050582,204.37277666666668,230.0417865808645,-0.20370784030291111,20.864612649891303,145.08571666666668,144.2480554743403,0.6293324520770509,3.337459374149673,71.28937666666666,90.12463810587663,-0.04927272323602194,15.650329041592478,164.84807,172.84596584318172,0.5069753694531447,6.734378754560092,48.88600879,66.87784343559545,-0.7170748484395773,15.975934284796029,133.4649331,175.6014646582992,-0.5016495296854211,38.402999591912995,0.365062688,0.3393070026251019,-0.16847387486350796,0.027754300608509325
21,0,68.75,31.25,0,0,4.222120895,4.125531002104581,0.9319143761045303,7.711036780050582,211.42958,230.0417865808645,-0.20370784030291111,20.864612649891303,145.55664000000002,144.2480554743403,0.6293324520770509,3.337459374149673,74.23196,90.12463810587663,-0.04927272323602194,15.650329041592478,167.5142867,172.84596584318172,0.5069753694531447,6.734378754560092,53.44234464,66.87784343559545,-0.7170748484395773,15.975934284796029,144.9160976,175.6014646582992,-0.5016495296854211,38.402999591912995,0.355817176,0.3393070026251019,-0.16847387486350796,0.027754300608509325
