Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,E_coh,E_coh_ROM,E_coh_R2,E_coh_RMSE,C11_avg,C11_ROM,C11_R2,C11_RMSE,C12_avg,C12_ROM,C12_R2,C12_RMSE,C44_avg,C44_ROM,C44_R2,C44_RMSE,B,B_ROM,B_R2,B_RMSE,G,G_ROM,G_R2,G_RMSE,E_VRH,E_VRH_ROM,E_VRH_R2,E_VRH_RMSE,nu,nu_ROM,nu_R2,nu_RMSE
11,25.0,18.75,18.75,18.75,18.75,4.13844687,4.070277714545869,0.9884370329367563,8.319517088326595,211.19069666666667,224.0900298679718,0.7623087546782934,14.22551906381822,150.11955666666668,152.36017492146595,0.969335200053769,2.79129331571228,75.05634333333333,74.01538312542682,0.8159430537877395,6.517522197881559,170.47660333333332,176.27012657030124,0.9257443902052817,5.453349606195292,52.19740693405906,54.74934039102565,0.6286509300880794,6.7648266289318,142.09024569107189,147.3449715566831,0.6844875847724301,16.173668159975655,0.3610852917518907,0.35916796563861086,0.544967235455746,0.014698282367436727
12,25.0,18.75,18.75,18.75,18.75,4.1213257225,4.070277714545869,0.9884370329367563,8.319517088326595,210.64922666666666,224.0900298679718,0.7623087546782934,14.22551906381822,150.29933666666668,152.36017492146595,0.969335200053769,2.79129331571228,72.25924,74.01538312542682,0.8159430537877395,6.517522197881559,170.41596666666666,176.27012657030124,0.9257443902052817,5.453349606195292,50.72585926813842,54.74934039102565,0.6286509300880794,6.7648266289318,138.44145886974138,147.3449715566831,0.6844875847724301,16.173668159975655,0.3646043740524495,0.35916796563861086,0.544967235455746,0.014698282367436727
13,18.75,25.0,18.75,18.75,18.75,4.200585776875,4.142858992915365,0.9884370329367563,8.319517088326595,207.10479999999998,228.70828152738633,0.7623087546782934,14.22551906381822,151.18437666666668,154.35988232497905,0.969335200053769,2.79129331571228,67.53292666666667,75.7362659823265,0.8159430537877395,6.517522197881559,169.82451777777774,179.14268205911483,0.9257443902052817,5.453349606195292,47.23993623877952,56.35727005859794,0.6286509300880794,6.7648266289318,129.69417101771288,151.41258556535328,0.6844875847724301,16.173668159975655,0.3727174647543894,0.3585022219392984,0.544967235455746,0.014698282367436727
14,18.75,25.0,18.75,18.75,18.75,4.187220355,4.142858992915365,0.9884370329367563,8.319517088326595,210.83798333333334,228.70828152738633,0.7623087546782934,14.22551906381822,153.10759666666667,154.35988232497905,0.969335200053769,2.79129331571228,73.40621666666668,75.7362659823265,0.8159430537877395,6.517522197881559,172.3510588888889,179.14268205911483,0.9257443902052817,5.453349606195292,50.10715667782591,56.35727005859794,0.6286509300880794,6.7648266289318,137.04095479258987,151.41258556535328,0.6844875847724301,16.173668159975655,0.3674788580972811,0.3585022219392984,0.544967235455746,0.014698282367436727
15,18.75,25.0,18.75,18.75,18.75,4.184552958125,4.142858992915365,0.9884370329367563,8.319517088326595,213.86939333333336,228.70828152738633,0.7623087546782934,14.22551906381822,152.6015866666667,154.35988232497905,0.969335200053769,2.79129331571228,76.72610999999999,75.7362659823265,0.8159430537877395,6.517522197881559,173.0241888888889,179.14268205911483,0.9257443902052817,5.453349606195292,52.625092174509206,56.35727005859794,0.6286509300880794,6.7648266289318,143.3427682114114,151.41258556535328,0.6844875847724301,16.173668159975655,0.3619241533684615,0.3585022219392984,0.544967235455746,0.014698282367436727
16,6.25,75.0,6.25,6.25,6.25,4.628795813125,4.603350284962736,0.9884370329367563,8.319517088326595,244.09572000000003,257.00062305567735,0.7623087546782934,14.22551906381822,156.17549999999997,155.43202525909692,0.969335200053769,2.79129331571228,100.52022333333333,107.81173587812363,0.8159430537877395,6.517522197881559,185.48224,189.28822452462373,0.9257443902052817,5.453349606195292,72.08367172837285,79.47674383398571,0.6286509300880794,6.7648266289318,191.45003913897045,207.71994165520084,0.6844875847724301,16.173668159975655,0.32797091594055,0.3182196106637072,0.544967235455746,0.014698282367436727
17,6.25,75.0,6.25,6.25,6.25,4.634925662500001,4.603350284962736,0.9884370329367563,8.319517088326595,244.29552666666666,257.00062305567735,0.7623087546782934,14.22551906381822,155.45301999999998,155.43202525909692,0.969335200053769,2.79129331571228,101.68419999999999,107.81173587812363,0.8159430537877395,6.517522197881559,185.0671888888889,189.28822452462373,0.9257443902052817,5.453349606195292,72.81456421341659,79.47674383398571,0.6286509300880794,6.7648266289318,193.11650516422225,207.71994165520084,0.6844875847724301,16.173668159975655,0.3260843297654399,0.3182196106637072,0.544967235455746,0.014698282367436727
18,6.25,75.0,6.25,6.25,6.25,4.61906849375,4.603350284962736,0.9884370329367563,8.319517088326595,238.76109999999997,257.00062305567735,0.7623087546782934,14.22551906381822,156.50215333333335,155.43202525909692,0.969335200053769,2.79129331571228,97.80029,107.81173587812363,0.8159430537877395,6.517522197881559,183.92180222222223,189.28822452462373,0.9257443902052817,5.453349606195292,69.03036639556558,79.47674383398571,0.6286509300880794,6.7648266289318,184.06327735794693,207.71994165520084,0.6844875847724301,16.173668159975655,0.3332051310810579,0.3182196106637072,0.544967235455746,0.014698282367436727
19,75.0,6.25,6.25,6.25,6.25,3.742620498125,3.7028379393838193,0.9884370329367563,8.319517088326595,184.47792666666666,199.75034801452782,0.7623087546782934,14.22551906381822,135.96500999999998,131.1764647399182,0.969335200053769,2.79129331571228,79.23419666666668,85.45039032729397,0.8159430537877395,6.517522197881559,152.1359822222222,154.03442583145474,0.9257443902052817,5.453349606195292,48.33697576805718,58.91030023560461,0.6286509300880794,6.7648266289318,131.12393336395664,155.79661002738942,0.6844875847724301,16.173668159975655,0.3563522673941062,0.3282015637400415,0.544967235455746,0.014698282367436727
20,75.0,6.25,6.25,6.25,6.25,3.743743795,3.7028379393838193,0.9884370329367563,8.319517088326595,186.09960333333333,199.75034801452782,0.7623087546782934,14.22551906381822,134.86816000000002,131.1764647399182,0.969335200053769,2.79129331571228,73.55769666666667,85.45039032729397,0.8159430537877395,6.517522197881559,151.94530777777777,154.03442583145474,0.9257443902052817,5.453349606195292,46.71597902231211,58.91030023560461,0.6286509300880794,6.7648266289318,127.1201322623969,155.79661002738942,0.6844875847724301,16.173668159975655,0.3605637184835919,0.3282015637400415,0.544967235455746,0.014698282367436727
