,25B,50B_newseed1234,75B_newseed72,100B,100B_25T,100B_50T_newseed1234,100B_75T,100B_100T
c11,0.825,0.806,0.81,0.757,0.71,0.807,0.787,0.798
c12,0.753,0.747,0.791,0.768,0.798,0.837,0.815,0.802
c44,0.563,0.591,0.586,0.668,0.684,0.727,0.741,0.725
G,0.63,0.663,0.617,0.712,0.698,0.738,0.738,0.713
B,0.808,0.832,0.814,0.833,0.8,0.843,0.817,0.83
E_VRH,0.643,0.667,0.617,0.714,0.695,0.736,0.736,0.718
nu,0.563,0.542,0.521,0.599,0.594,0.554,0.595,0.673
Cohesive_energy,0.846,0.779,0.774,0.823,0.752,0.762,0.778,0.834
