loss,val_loss,lr
5.772878921561642e-06,1.73723601619713e-05,2.7e-05
5.87081831326941e-06,1.7457779904361814e-05,2.7e-05
5.822727871418465e-06,1.7438025679439306e-05,2.7e-05
5.740485448768595e-06,1.743931534292642e-05,2.7e-05
5.752248853241326e-06,1.746581619954668e-05,2.7e-05
5.944880740571534e-06,1.7456604837207124e-05,2.7e-05
5.855592007719679e-06,1.7377811673213728e-05,2.7e-05
5.989187684463104e-06,1.736950252961833e-05,2.7e-05
5.784898803540273e-06,1.7407483028364368e-05,2.7e-05
5.806518856843468e-06,1.7409862266504206e-05,2.7e-05
5.867669642611872e-06,1.7434531400795095e-05,2.7e-05
5.835076535731787e-06,1.7269276213482954e-05,2.7e-05
5.771189535153098e-06,1.7376727555529214e-05,2.7e-05
5.837408480147133e-06,1.7501624824944884e-05,2.7e-05
5.866317678737687e-06,1.754150798660703e-05,2.7e-05
5.687447810487356e-06,1.7395175746059977e-05,2.7e-05
5.620570846076589e-06,1.749152215779759e-05,2.7e-05
5.822867024107836e-06,1.7540131011628546e-05,2.7e-05
5.8085188356926665e-06,1.7520495021017268e-05,2.7e-05
5.748149760620436e-06,1.7472913896199316e-05,2.7e-05
5.982211405353155e-06,1.7388794731232338e-05,2.7e-05
5.576776857196819e-06,1.739814797474537e-05,8.1e-06
5.9563467402767856e-06,1.739896288199816e-05,8.1e-06
5.734120350098237e-06,1.739830622682348e-05,8.1e-06
5.736229013564298e-06,1.7411612134310417e-05,8.1e-06
6.0140314417367335e-06,1.738308674248401e-05,8.1e-06
5.7663187362777535e-06,1.7401889635948464e-05,8.1e-06
5.810750735690817e-06,1.7418049537809566e-05,8.1e-06
5.6472886171832215e-06,1.7397112969774753e-05,8.1e-06
5.8052100939676166e-06,1.7365704479743727e-05,8.1e-06
5.778257673227927e-06,1.7356751413899474e-05,8.1e-06
5.629147835861659e-06,1.73775406437926e-05,8.1e-06
5.5260834415093996e-06,1.7357817341689952e-05,8.1e-06
5.687545581167797e-06,1.736434205668047e-05,8.1e-06
5.721552952309139e-06,1.733965655148495e-05,8.1e-06
5.677609806298278e-06,1.7335330994683318e-05,8.1e-06
5.80063579036505e-06,1.7349018889945e-05,8.1e-06
5.5844170674390625e-06,1.7361866412102245e-05,8.1e-06
5.82502343604574e-06,1.7423257304471917e-05,8.1e-06
5.624144705507206e-06,1.7425434634787962e-05,8.1e-06
5.954951575404266e-06,1.738217360980343e-05,8.1e-06
5.809414233226562e-06,1.7386237232130952e-05,8.1e-06
