loss,val_loss,lr
3.766133522731252e-05,2.1601699700113386e-05,0.001
2.0747276721522212e-05,2.3345915906247683e-05,0.001
1.6831640095915645e-05,2.013567427638918e-05,0.001
1.5062146303534973e-05,1.934293868544046e-05,0.001
1.4778075637877919e-05,1.810597677831538e-05,0.001
1.3926870451541618e-05,1.786402026482392e-05,0.001
1.3977656635688618e-05,1.8106697098119184e-05,0.001
1.349934609606862e-05,1.7866275811684318e-05,0.001
1.3690638297703117e-05,1.851577872002963e-05,0.001
1.2908660210086964e-05,1.9032342606806196e-05,0.001
1.3432459127216134e-05,1.781820901669562e-05,0.001
1.2186082130938303e-05,1.8286296835867688e-05,0.001
1.2266315934539307e-05,1.9397299183765426e-05,0.001
1.289979354623938e-05,1.85845547093777e-05,0.001
1.2049249562551267e-05,1.8791113689076155e-05,0.001
1.1438677574915346e-05,1.9223425624659285e-05,0.001
1.073761723091593e-05,1.8459630155120976e-05,0.001
1.1174703104188666e-05,2.3208298443933018e-05,0.001
1.248981152457418e-05,2.1352730982471257e-05,0.001
1.1137417459394783e-05,2.5950901545002125e-05,0.001
1.1210080629098229e-05,1.9616083591245115e-05,0.001
1.1212488971068524e-05,1.8963042748509906e-05,0.001
1.0621174624247942e-05,1.961932321137283e-05,0.001
1.0275881322741043e-05,1.8072169041261077e-05,0.001
1.0102795386046637e-05,2.152996057702694e-05,0.001
1.0167606887989677e-05,1.769774462445639e-05,0.001
9.220861102221534e-06,1.8329170416109264e-05,0.001
9.333381058240775e-06,1.7641783415456302e-05,0.001
8.951113159127999e-06,1.841144694481045e-05,0.001
8.895719474821817e-06,1.9349379726918414e-05,0.001
9.15449891181197e-06,2.3056540157995187e-05,0.001
9.149754987447523e-06,1.9938550394726917e-05,0.0003
8.534795597370248e-06,1.8556102077127434e-05,0.0003
8.116261597024277e-06,1.810523826861754e-05,0.0003
7.85664360591909e-06,1.7882321117212996e-05,0.0003
7.5069178819830995e-06,1.8051578081212938e-05,0.0003
7.777742212056182e-06,1.746801171975676e-05,0.0003
7.3379414970986545e-06,1.7511636542622e-05,0.0003
7.5135867518838495e-06,1.7662629034020938e-05,0.0003
7.655929948668927e-06,1.733192584651988e-05,0.0003
7.575067684228998e-06,1.7783924704417586e-05,0.0003
7.508996986871352e-06,1.7132420907728374e-05,0.0003
7.5689881668949965e-06,1.7319525795755908e-05,0.0003
7.309331977012334e-06,1.762462852639146e-05,0.0003
7.422052021865966e-06,1.7933953131432645e-05,0.0003
7.048658517305739e-06,1.8179700418841094e-05,0.0003
7.052916316752089e-06,1.7485072021372616e-05,0.0003
7.225520676001906e-06,1.802921724447515e-05,0.0003
7.431332051055506e-06,1.7701257092994638e-05,0.0003
7.0609657996101305e-06,1.7350894268020056e-05,0.0003
7.315108177863294e-06,1.7445479898015037e-05,0.0003
6.9711586547782645e-06,1.7475211279815994e-05,0.0003
6.949956969037885e-06,1.826897459977772e-05,0.0003
6.785558525734814e-06,1.7455671695643105e-05,0.0003
6.72202804707922e-06,1.7341099010081962e-05,0.0003
6.77412208460737e-06,1.7239897715626284e-05,0.0003
6.740723165421514e-06,1.7486803699284792e-05,0.0003
6.694157946185442e-06,1.7415110050933436e-05,0.0003
6.403530733223306e-06,1.7420501535525545e-05,0.0003
6.693835530313663e-06,1.737835737003479e-05,0.0003
6.550284524564631e-06,1.7633226889302023e-05,0.0003
6.2469007389154285e-06,1.7143374861916527e-05,9e-05
6.2815747696731705e-06,1.7225027477252297e-05,9e-05
6.425803803722374e-06,1.742141648719553e-05,9e-05
6.3545999182679225e-06,1.7741773262969218e-05,9e-05
6.32601495453855e-06,1.7527778254589066e-05,9e-05
6.42157465335913e-06,1.740122570481617e-05,9e-05
6.0808324633399025e-06,1.7484433556091972e-05,9e-05
6.201841642905492e-06,1.7656075215199962e-05,9e-05
6.280988145590527e-06,1.7561775166541338e-05,9e-05
6.423362719942816e-06,1.765158594935201e-05,9e-05
6.2271874412545e-06,1.7554428268340416e-05,9e-05
6.151793968456332e-06,1.7573265722603537e-05,9e-05
6.148557076812722e-06,1.7453703549108468e-05,9e-05
6.1593163991346955e-06,1.754494951455854e-05,9e-05
6.22237030256656e-06,1.739512117637787e-05,9e-05
6.066715741326334e-06,1.7308417227468453e-05,9e-05
5.943229098193115e-06,1.7425209080101922e-05,9e-05
6.150039553176612e-06,1.744075598253403e-05,9e-05
6.1645196183235385e-06,1.7462869436712936e-05,9e-05
6.282030426518759e-06,1.7516844309284352e-05,9e-05
6.082957952457946e-06,1.7679012671578676e-05,9e-05
5.971509381197393e-06,1.7421662050765008e-05,9e-05
6.132261205493705e-06,1.7569269402883947e-05,9e-05
5.774380042566918e-06,1.7561809727340005e-05,9e-05
6.108049547037808e-06,1.7743957869242877e-05,9e-05
5.829925612488296e-06,1.75557543116156e-05,9e-05
6.085926088417182e-06,1.7539006876177154e-05,9e-05
5.8571190493239556e-06,1.730338772176765e-05,9e-05
6.160224529594416e-06,1.7454527551308274e-05,9e-05
6.004969691275619e-06,1.7321975974482484e-05,9e-05
5.8294185691920575e-06,1.7319422113359906e-05,2.7e-05
5.937426521995803e-06,1.7297410522587597e-05,2.7e-05
5.833516752318246e-06,1.7416930859326385e-05,2.7e-05
6.052874596207403e-06,1.746047018968966e-05,2.7e-05
5.862732905370649e-06,1.743428765621502e-05,2.7e-05
5.7645602282718755e-06,1.730107396724634e-05,2.7e-05
5.77394530409947e-06,1.7354250303469598e-05,2.7e-05
5.845291070727399e-06,1.7428683349862695e-05,2.7e-05
6.004212082189042e-06,1.743445682222955e-05,2.7e-05
