loss,val_loss,lr
9.20344791666139e-06,1.341136794508202e-05,2.7e-05
8.80066909303423e-06,1.3061186109553091e-05,2.7e-05
8.696784789208323e-06,1.2899832654511556e-05,2.7e-05
8.361854270333424e-06,1.2524709745775908e-05,2.7e-05
8.530486411473248e-06,1.2490045264712535e-05,2.7e-05
8.653423719806597e-06,1.2470210094761569e-05,2.7e-05
8.313248144986574e-06,1.2356310435279738e-05,2.7e-05
8.443461410934106e-06,1.2391904419928323e-05,2.7e-05
8.794229870545678e-06,1.2335536666796543e-05,2.7e-05
8.320816050400026e-06,1.2370933291094843e-05,2.7e-05
8.258103662228677e-06,1.2438265912351198e-05,2.7e-05
8.155611794791184e-06,1.2446030268620234e-05,2.7e-05
8.090682058536913e-06,1.197889923787443e-05,2.7e-05
8.055567377596162e-06,1.2368122042971663e-05,2.7e-05
8.252806765085552e-06,1.2106246686016675e-05,2.7e-05
8.207009159377776e-06,1.2140325452492107e-05,2.7e-05
7.887912943260744e-06,1.2327307558734901e-05,2.7e-05
7.661110430490226e-06,1.215773318108404e-05,2.7e-05
8.163236088876147e-06,1.2156197044532746e-05,2.7e-05
8.486735168844461e-06,1.1972504580626264e-05,2.7e-05
7.833384188415948e-06,1.2081282875442412e-05,2.7e-05
7.80316440796014e-06,1.2089050869690254e-05,2.7e-05
7.7378408605e-06,1.1981463103438728e-05,2.7e-05
7.849881512811407e-06,1.2000077731499914e-05,2.7e-05
8.010143574210815e-06,1.1929639185837004e-05,2.7e-05
8.156237527146004e-06,1.2060587323503569e-05,2.7e-05
7.684601769142319e-06,1.1841824743896723e-05,2.7e-05
7.950447979965247e-06,1.2087435607099906e-05,2.7e-05
8.061498192546424e-06,1.2084899935871363e-05,2.7e-05
7.867887688917108e-06,1.2186800631752703e-05,2.7e-05
7.815358003426809e-06,1.1993717635050416e-05,2.7e-05
7.740633009234443e-06,1.195017193822423e-05,8.1e-06
7.847278538974933e-06,1.2017683729936834e-05,8.1e-06
7.35155890652095e-06,1.1947159691771958e-05,8.1e-06
7.949102837301325e-06,1.1909885870409198e-05,8.1e-06
8.201545824704226e-06,1.1938163879676722e-05,8.1e-06
7.54950679038302e-06,1.2072749086655676e-05,8.1e-06
8.097028512565885e-06,1.2072388017259073e-05,8.1e-06
8.011109457584098e-06,1.1851802810269874e-05,8.1e-06
8.08267759566661e-06,1.1880360034410842e-05,8.1e-06
7.85401243774686e-06,1.1871880815306213e-05,8.1e-06
7.685527634748723e-06,1.1872796676470898e-05,8.1e-06
8.245804565376602e-06,1.1861956409120467e-05,8.1e-06
7.990100129973143e-06,1.1817037375294603e-05,8.1e-06
7.801381798344664e-06,1.1850163900817279e-05,8.1e-06
7.882540558057372e-06,1.1800546417362057e-05,8.1e-06
7.81923154136166e-06,1.1853292562591378e-05,8.1e-06
7.938339877000544e-06,1.1895075658685528e-05,8.1e-06
7.5675279731513e-06,1.1932559573324397e-05,8.1e-06
7.946520781842992e-06,1.1864053703902755e-05,8.1e-06
7.555829142802395e-06,1.1869351510540582e-05,8.1e-06
7.788360562699381e-06,1.1974212611676194e-05,8.1e-06
7.840182661311701e-06,1.2042434718750883e-05,8.1e-06
7.972339517436922e-06,1.1943285244342405e-05,8.1e-06
7.875826668168884e-06,1.201088980451459e-05,8.1e-06
7.806240319041535e-06,1.1832754353235941e-05,8.1e-06
7.813612683094107e-06,1.1881065802299418e-05,8.1e-06
7.825597094779368e-06,1.1987064681306947e-05,8.1e-06
7.838157216610853e-06,1.2045548828609753e-05,8.1e-06
7.551271664851811e-06,1.1840123988804407e-05,8.1e-06
7.830375579942483e-06,1.1817955055448692e-05,8.1e-06
7.735077815596014e-06,1.18535090223304e-05,2.43e-06
7.802383152011316e-06,1.1901272046088707e-05,2.43e-06
7.826104592822958e-06,1.193955813505454e-05,2.43e-06
7.692206054343842e-06,1.1924467798962723e-05,2.43e-06
7.816044671926647e-06,1.1919370990653988e-05,2.43e-06
7.679033842578065e-06,1.1895457646460272e-05,2.43e-06
7.83885843702592e-06,1.186937060992932e-05,2.43e-06
7.644057404831983e-06,1.1864844964293297e-05,2.43e-06
7.84420899435645e-06,1.1897568583663087e-05,2.43e-06
8.014108971110545e-06,1.1923157217097469e-05,2.43e-06
7.599209311592858e-06,1.1923279089387506e-05,2.43e-06
7.67270103096962e-06,1.1888842891494278e-05,2.43e-06
7.606511189806042e-06,1.1939510841330048e-05,2.43e-06
7.513719538110308e-06,1.1912331501662266e-05,2.43e-06
7.74475574871758e-06,1.1900053323188331e-05,2.43e-06
7.685661330469884e-06,1.1895357602043077e-05,2.43e-06
7.66805351304356e-06,1.1898941920662764e-05,2.43e-06
7.581811132695293e-06,1.1891633221239317e-05,2.43e-06
7.662529242224991e-06,1.1886154425155837e-05,2.43e-06
